tconst	startYear	primaryTitle	averageRating	numVotes
tt0780536	2008	In Bruges	7.9	480664
tt3385516	2016	X-Men: Apocalypse	6.8	480660
tt1499658	2011	Horrible Bosses	6.9	480033
tt0070047	1973	The Exorcist	8.1	479989
tt0093773	1987	Predator	7.8	479648
tt11564570	2022	Glass Onion	7.1	479369
tt1355644	2016	Passengers	7.0	477099
tt5095030	2018	Ant-Man and the Wasp	7.0	475334
tt1259521	2011	The Cabin in the Woods	7.0	474320
tt0382625	2006	The Da Vinci Code	6.6	474158
tt0765429	2007	American Gangster	7.8	473083
tt0087332	1984	Ghostbusters	7.8	472096
tt0942385	2008	Tropic Thunder	7.1	471396
tt0319061	2003	Big Fish	8.0	470320
tt2584384	2019	Jojo Rabbit	7.9	469486
tt3170832	2015	Room	8.1	469415
tt0093779	1987	The Princess Bride	8.0	468990
tt1637688	2011	In Time	6.7	468952
tt0120591	1998	Armageddon	6.7	467528
tt2382320	2021	No Time to Die	7.3	467392
tt0092005	1986	Stand by Me	8.1	466708
tt9376612	2021	Shang-Chi and the Legend of the Ten Rings	7.3	466315
tt6264654	2021	Free Guy	7.1	465968
tt0377092	2004	Mean Girls	7.1	464256
tt1217209	2012	Brave	7.1	463799
tt0119698	1997	Princess Mononoke	8.3	462847
tt9362722	2023	Spider-Man: Across the Spider-Verse	8.5	462560
tt1605783	2011	Midnight in Paris	7.6	462437
tt5580390	2017	The Shape of Water	7.3	462006
tt0443453	2006	Borat	7.4	461821
tt1187043	2009	3 Idiots	8.4	461445
tt0119567	1997	The Lost World: Jurassic Park	6.6	460858
tt0351283	2005	Madagascar	6.9	460723
tt0360717	2005	King Kong	7.2	460552
tt9764362	2022	The Menu	7.2	459108
tt0088847	1985	The Breakfast Club	7.8	459054
tt0091763	1986	Platoon	8.1	457954
tt0217869	2000	Unbreakable	7.3	457712
tt12361974	2021	Zack Snyder's Justice League	7.9	457611
tt6146586	2019	John Wick: Chapter 3 - Parabellum	7.4	457445
tt1014759	2010	Alice in Wonderland	6.4	456662
